Year,Country Name,GDP (current US$) , GDP per capita (current US$) ,GDP growth (annual %),Imports of goods and services (% of GDP),Exports of goods and services (% of GDP)," Total reserves (includes gold, current US$) ","Inflation, consumer prices (annual %)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)"
1960,India,37029883876.18,82,0,6.83,4.46,674536630.93,1.78,445954579,2.31,41.13
1961,India,39232435784.04,85,3.72,5.96,4.3,666357094.86,1.7,456351876,2.33,41.74
1962,India,42161481858.08,90,2.93,6.03,4.17,512791844,3.63,467024193,2.34,42.34
1963,India,48421923459.12,101,5.99,5.91,4.28,607862500.36,2.95,477933619,2.34,42.94
1964,India,56480289940.99,116,7.45,5.69,3.73,499145125.79,13.36,489059309,2.33,43.57
1965,India,59554854575.81,119,-2.64,5.21,3.31,600850886.23,9.47,500114346,2.26,44.2
1966,India,45865462034.29,90,-0.06,6.67,4.14,609694584.53,10.8,510992617,2.18,44.84
1967,India,50134942204,96,7.83,5.95,4.03,663764119.79,13.06,521987069,2.15,45.47
1968,India,53085455870.67,100,3.39,4.94,4.04,730352744.87,3.24,533431909,2.19,46.1
1969,India,58447995017.33,108,6.54,4.03,3.71,927764119.79,-0.58,545314670,2.23,46.75
1970,India,62422483054.67,112,5.16,3.88,3.78,1023173271.5,5.09,557501301,2.23,47.41
1971,India,67350988021.39,119,1.64,4,3.67,1245821898.02,3.08,569999178,2.24,48.06
1972,India,71463193831.01,123,-0.55,3.71,4.03,1367601418.59,6.44,582837973,2.25,48.72
1973,India,85515269585.4,144,3.3,4.72,4.21,1629325093.4,16.94,596107483,2.28,49.37
1974,India,99525899116.05,163,1.19,6.02,4.83,2324650346.6,28.6,609721951,2.28,50
1975,India,98472796456.88,158,9.15,6.65,5.65,2064427967.55,5.75,623524219,2.26,50.63
1976,India,102717164466.4,161,1.66,6.11,6.69,3728750637.45,-7.63,637451448,2.23,51.25
1977,India,121487322475.91,186,7.25,6.26,6.38,6085439869.41,8.31,651685628,2.23,51.88
1978,India,137300295313.3,206,5.71,6.59,6.31,8316115827.72,2.52,666267760,2.24,52.51
1979,India,152991653793.77,224,-5.24,8.17,6.75,11815414018.57,6.28,681248383,2.25,52.99
